Category,Precipitation (mm),Precipitation amount during wettest days (mm),Average Mean Surface Air Temperature (degC),Average Maximum Surface Air Temperature (degC),Average Minimum Surface Air Temperature (degC),Minimum of Daily Min-Temperature (degC),Maximum of Daily Max-Temperature (degC)
Jan,164.2,55.42,24.54,27.44,22.26,20.39,29.47
Feb,129.6,43.48,24.79,27.91,22.27,20.48,29.9
Mar,121.98,39.09,25.61,28.96,22.82,21.03,30.89
Apr,116.36,35.09,26.68,30.16,23.7,22.12,31.92
May,223.16,55.43,27.01,30.36,24.23,23.01,32.2
Jun,278.64,67.41,26.68,29.86,24.11,23.02,31.74
Jul,333.43,84.02,26.25,29.26,23.89,22.79,31.21
Aug,295.26,69.54,26.26,29.27,23.93,22.77,31.15
Sep,291.17,73.93,26.16,29.27,23.78,22.66,31.09
Oct,267.63,81.24,25.96,29.01,23.56,22.26,30.9
Nov,210.02,65.74,25.68,28.64,23.34,21.86,30.46
Dec,226.65,82.92,25.08,27.87,22.89,21.19,29.87
